id,timestamp,hostname,interface,description,encapsulation,vlan,rewrite,input_policy,output_policy,modified_by_id
39861,2021-05-21 05:00:47.572303,SPC00E67CIBE002,Bundle-Ether30000.1209,OLGPXOLGCICU001_OLPHUOL001_FTTH_DHCP_,dot1q,1209,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39862,2021-05-21 05:00:47.572332,SPC00E67CIBE002,Bundle-Ether30000.1210,OLGPXOLGCICU001_OLPFEOL001_FTTH_DHCP,dot1q,1210,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39863,2021-05-21 05:00:47.572361,SPC00E67CIBE002,Bundle-Ether30000.1211,SUB00527CICU001_SUBFEOL001_FTTH_DHCP,dot1q,1211,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39864,2021-05-21 05:00:47.572389,SPC00E67CIBE002,Bundle-Ether30005.951,OLGPXOLGCICU001 FTTH DHCP Public IP,dot1q,951,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39865,2021-05-21 05:00:47.572418,SPC00E67CIBE002,Bundle-Ether30005.952,BLAPXBLACICU001_OLT_FTTH DHCP Public IP,dot1q,952,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39866,2021-05-21 05:00:47.572447,SPC00E67CIBE002,Bundle-Ether30005.953,SUB00527CICU001_OLT_FNAT,dot1q,953,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39867,2021-05-21 05:00:47.572476,SPC00E67CIBE002,Bundle-Ether30005.954,CABN5695CICU001_FNAT,dot1q,954,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39868,2021-05-21 05:00:47.572505,SPC00E67CIBE002,Bundle-Ether30005.955,MLLN0037CICU001 FTTH DHCP Public IP,dot1q,955,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39869,2021-05-21 05:00:47.572534,SPC00E67CIBE002,Bundle-Ether30005.1201,SBCHUOL001 FTTH DHCP,dot1q,1201,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39870,2021-05-21 05:00:47.572564,SPC00E67CIBE002,Bundle-Ether30005.1202,OLPHUOL002 FTTH DHCP,dot1q,1202,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39871,2021-05-21 05:00:47.572593,SPC00E67CIBE002,Bundle-Ether30005.1203,BLAPXBLACICU001_MRGHUOL001_FTTH DHCP,dot1q,1203,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39872,2021-05-21 05:00:47.572623,SPC00E67CIBE002,Bundle-Ether30005.1204,BLAPXBLACICU001_BLAHUOL001_FTTH DHCP,dot1q,1204,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39873,2021-05-21 05:00:47.572655,SPC00E67CIBE002,Bundle-Ether30005.1205,SUB00527CICU001_SUBFEOL002_CONS,dot1q,1205,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
