SITE_NAME,DEVICE_TYPE,HOSTNAME,REGION,IPV4_MANAGEMENT_IP,IPV6_MANAGEMENT_IP,IPV4_LOOPBACK0_ADDRESS,IPV6_LOOPBACK0_ADDRESS,SID_ABSOLUTE_PREFIX,SID_ABSOLUTE_STRICT_PREFIX,ANY_CAST_SID,PHASE,IPV4_ANYCAST_IP
PLDT GAPAN,AN-1,GPNPXGPNCICU001,NL,10.205.142.15,2405:b800::b00f,10.205.134.15,2405:b800::300f,,,,PHASE 2,
PLDT GUIMBA,AN-1,GBAPXGBACICU001,NL,10.205.142.16,2405:b800::b010,10.205.134.16,2405:b800::3010,,,,PHASE 2,
PLDT IMUS,AN-1,IMUPXIMUCICU001,SL,10.205.142.17,2405:b800::b011,10.205.134.17,2405:b800::3011,,,,PHASE 2,
PLDT LAS PINAS,AN-1,LPNPXLPNCICU001,GMM,10.205.142.18,2405:b800::b012,10.205.134.18,2405:b800::3012,,,,PHASE 2,
PLDT LUBAO,AN-1,LUBPXLUBCICU001,NL,10.205.142.19,2405:b800::b013,10.205.134.19,2405:b800::3013,,,,PHASE 2,
PLDT LUCENA,AN-1,LCNPXLCNCICU001,SL,10.205.142.20,2405:b800::b014,10.205.134.20,2405:b800::3014,,,,PHASE 2,
PLDT LUISITA INDUSTRIAL PARK,AN-1,TRCPXLIPCICU001,NL,10.205.142.21,2405:b800::b015,10.205.134.21,2405:b800::3015,,,,PHASE 2,
PLDT MANAOAG,AN-1,MNGPXMNGCICU001,NL,10.205.142.22,2405:b800::b016,10.205.134.22,2405:b800::3016,,,,PHASE 2,
PLDT MUNTINLUPA,AN-1,MTPPXMTPCICU001,GMM,10.205.142.23,2405:b800::b017,10.205.134.23,2405:b800::3017,,,,PHASE 2,
PLDT PALAYAN,AN-1,PLYPXPLYCICU001,NL,10.205.142.24,2405:b800::b018,10.205.134.24,2405:b800::3018,,,,PHASE 2,
PLDT PANIQUI,AN-1,PQIPXPQICICU001,NL,10.205.142.25,2405:b800::b019,10.205.134.25,2405:b800::3019,,,,PHASE 2,
PLDT SAN JOSE NE,AN-1,SJNPXSJNCICU001,NL,10.205.142.26,2405:b800::b01a,10.205.134.26,2405:b800::301a,,,,PHASE 2,
PLDT SFP,AN-1,SFPPXSFPCICU001,NL,10.205.142.27,2405:b800::b01b,10.205.134.27,2405:b800::301b,,,,PHASE 2,
PLDT SOUTH PARANAQUE,AN-1,PRQPXPRQCICU001,GMM,10.205.142.28,2405:b800::b01c,10.205.134.28,2405:b800::301c,,,,PHASE 2,
SMART 3813 BAUKO,AN-1,BKO03813CICU001,NL,10.205.142.29,2405:b800::b01d,10.205.134.29,2405:b800::301d,,,,PHASE 2,
SMART 4141 SINILOAN,AN-1,SNL04141CICU001,SL,10.205.142.30,2405:b800::b01e,10.205.134.30,2405:b800::301e,,,,PHASE 2,
SMART 4167 MULANAY TOWN PROPER,AN-1,MLY04167CICU001,SL,10.205.142.31,2405:b800::b01f,10.205.134.31,2405:b800::301f,,,,PHASE 2,
SMART 4702 CATANAUAN,AN-1,CTN04702CICU001,SL,10.205.142.52,2405:b800::b034,10.205.134.52,2405:b800::3034,,,,PHASE 2,
SMART B43 GUMACA,AN-1,GMC00B43CICU001,SL,10.205.142.53,2405:b800::b035,10.205.134.53,2405:b800::3035,,,,PHASE 2,
SMART C07 ALAMINOS,AN-1,ALM00C07CICU001,NL,10.205.142.54,2405:b800::b036,10.205.134.54,2405:b800::3036,,,,PHASE 2,
SMART C27 BAYOMBONG,AN-1,BMB00C27CICU001,NL,10.205.142.55,2405:b800::b037,10.205.134.55,2405:b800::3037,,,,PHASE 2,
SMART O69 PANTABANGAN,AN-1,PTB00O69CICU001,NL,10.205.142.56,2405:b800::b038,10.205.134.56,2405:b800::3038,,,,PHASE 2,
SMART Y76 STA. TERESITA,AN-1,SST00Y76CICU001,NL,10.205.142.57,2405:b800::b039,10.205.134.57,2405:b800::3039,,,,PHASE 2,
